0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Atlantic City Intl|Atlantic City Intl|Atlantic City|Atlantic City|United States|United States|39.457583|39.457583|-74.577167|-74.577167|23|23
Zabol A/P|Zabol A/P|Zabol|Zabol|Iran|Iran|31.098333|31.098333|61.543889|61.543889|496|496
Adana|Adana|Adana|Adana|Turkey|Turkey|36.982166|36.982166|35.280388|35.280388|20|20
Adnan Menderes|Adnan Menderes|Izmir|Izmir|Turkey|Turkey|38.292392|38.292392|27.156953|27.156953|126|126
Andakombe|Andakombe|Andakombe|Andakombe|Papua New Guinea|Papua New Guinea|46.450270|46.450270|-95.210955|-95.210955|417|417
Bole International|Bole International|Addis Ababa|Addis Ababa|Ethiopia|Ethiopia|8.977889|8.977889|38.799319|38.799319|2334|2334
International|International|Aden|Aden|Yemen|Yemen|12.829542|12.829542|45.028792|45.028792|2|2
Adiyaman|Adiyaman|Adiyaman|Adiyaman|Turkey|Turkey|37.731369|37.731369|38.468936|38.468936|675|675
Lenawee County|Lenawee County|Adrian|Adrian|United States|United States|41.867674|41.867674|-84.077306|-84.077306|243|243
Aldan|Aldan|Aldan|Aldan|Russian Federation|Russian Federation|58.602778|58.602778|125.408889|125.408889|683|683
Arandis|Arandis|Arandis|Arandis|Namibia|Namibia|-22.462223|-22.462223|14.980000|14.980000|581|581
Marka International Airport|Marka International Airport|Amman|Amman|Jordan|Jordan|31.972703|31.972703|35.991569|35.991569|779|779
Adak Island NS|Adak Island NS|Adak Island|Adak Island|United States|United States|51.877964|51.877964|-176.646031|-176.646031|5|5
Adelaide International Airport|Adelaide International Airport|Adelaide|Adelaide|Australia|Australia|-34.945000|-34.945000|138.530556|138.530556|6|6
Ardmore Municipal Arpt|Ardmore Municipal Arpt|Ardmore|Ardmore|United States|United States|34.304250|34.304250|-97.020583|-97.020583|237|237
Andes|Andes|Andes|Andes|Colombia|Colombia|5.656|5.656|-75.879|-75.879|1189|1189
Andamooka|Andamooka|Andamooka|Andamooka|Australia|Australia|-30.437778|-30.437778|137.137222|137.137222|76|76
Ampara|Ampara|Ampara|Ampara|Sri Lanka|Sri Lanka|8.301486|8.301486|80.427900|80.427900|99|99
Kodiak Airport|Kodiak Airport|Kodiak|Kodiak|United States|United States|57.749968|57.749968|-152.493855|-152.493855|24|24
Andrews|Andrews|Andrews|Andrews|United States|United States|33.451700|33.451700|-79.526177|-79.526177|8|8
Addison Airport|Addison Airport|Dallas|Dallas|United States|United States|32.968559|32.968559|-96.836448|-96.836448|196|196
Ada|Ada|Ada|Ada|United States|United States|34.804262|34.804262|-96.671200|-96.671200|310|310
Ardabil|Ardabil|Ardabil|Ardabil|Iran|Iran|38.325678|38.325678|48.424356|48.424356|1315|1315
Andover|Andover|Andover|Andover|United Kingdom|United Kingdom|51.207|51.207|-1.528|-1.528|87|87
Andrews AFB|Andrews AFB|Camp Springs|Camp Springs|United States|United States|38.810833|38.810833|-76.867000|-76.867000|85|85
Leuchars|Leuchars|St Andrews|St Andrews|United Kingdom|United Kingdom|56.372889|56.372889|-2.868444|-2.868444|12|12
Alldays|Alldays|Alldays|Alldays|South Africa|South Africa|-22.679017|-22.679017|29.055517|29.055517|792|792
San Andres Island|San Andres Island|San Andres Island|San Andres Island|Colombia|Colombia|12.583683|12.583683|-81.710919|-81.710919|6|6
Abemama Atoll|Abemama Atoll|Abemama Atoll|Abemama Atoll|Kiribati|Kiribati|0.490833|0.490833|173.828611|173.828611|2|2
Aleneva|Aleneva|Aleneva|Aleneva|United States|United States|58.03333333|58.03333333|-152.9|-152.9||
Aek Godang|Aek Godang|Aek Godang|Aek Godang|Indonesia|Indonesia|1.400103|1.400103|99.430453|99.430453|281|281
Abecher|Abecher|Abecher|Abecher|Chad|Chad|13.847000|13.847000|20.844333|20.844333|545|545
Algeciras|Algeciras|Algeciras|Algeciras|Spain|Spain|0|0|0|0||
Aseki|Aseki|Aseki|Aseki|Papua New Guinea|Papua New Guinea|-7.350|-7.350|146.183|146.183|1189|1189
Albert Lea|Albert Lea|Albert Lea|Albert Lea|United States|United States|43.681528|43.681528|-93.367250|-93.367250|384|384
Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Mauritania|Mauritania|16.711293|16.711293|-9.637883|-9.637883|290|290
Arpt. Jorge Newbery|Arpt. Jorge Newbery|Buenos Aires|Buenos Aires|Argentina|Argentina|-34.559175|-34.559175|-58.415606|-58.415606|5|5
Adler - Sochi|Adler - Sochi|Adler|Adler|Russian Federation|Russian Federation|43.449928|43.449928|39.956589|39.956589|27|27
Vigra|Vigra|Aalesund|Aalesund|Norway|Norway|62.560372|62.560372|6.110164|6.110164|21|21
Allakaket|Allakaket|Allakaket|Allakaket|United States|United States|66.551833|66.551833|-152.622167|-152.622167|134|134
Abu Musa|Abu Musa|Abu Musa|Abu Musa|Iran|Iran|25.875742|25.875742|55.032994|55.032994|7|7
